message_id,ticket_id,sender_type,message_content,sent_at,message_type
TM00000083,TK0000083,agent,申请退款或补发,2025-09-20 14:21:08,text
TM00000084,TK0000084,agent,请提供相关订单信息,2026-07-03 14:16:05,text
TM00000085,TK0000085,agent,申请退款或补发,2025-07-21 23:06:55,text
TM00000086,TK0000086,user,已收到您的问题，正在核实,2025-01-17 13:37:55,text
TM00000087,TK0000087,agent,请提供相关订单信息,2025-11-09 05:46:28,text
TM00000088,TK0000088,user,申请退款或补发,2026-04-11 18:21:50,image
TM00000089,TK0000089,agent,请提供相关订单信息,2026-06-30 07:52:36,text
TM00000090,TK0000090,bot,已收到您的问题，正在核实,2025-10-04 14:03:58,text
TM00000091,TK0000091,user,申请退款或补发,2026-04-04 14:32:05,text
TM00000092,TK0000092,bot,问题已处理，请确认,2025-11-21 23:02:37,text
TM00000093,TK0000093,user,问题已处理，请确认,2025-05-08 03:20:40,text
TM00000094,TK0000094,agent,申请退款或补发,2026-08-01 06:40:50,text
TM00000095,TK0000095,agent,问题已处理，请确认,2026-03-31 01:06:39,text
TM00000096,TK0000096,agent,咨询当前处理进度,2025-06-19 15:49:52,text
TM00000097,TK0000097,agent,咨询当前处理进度,2026-02-17 14:58:35,text
TM00000098,TK0000098,bot,已收到您的问题，正在核实,2026-05-21 12:11:30,text
TM00000099,TK0000099,agent,问题已处理，请确认,2026-07-13 16:08:44,text
TM00000100,TK0000100,agent,申请退款或补发,2026-04-11 03:23:42,text
TM00000101,TK0000101,bot,请提供相关订单信息,2025-05-02 16:59:57,text
TM00000102,TK0000102,agent,请提供相关订单信息,2025-03-06 17:02:25,text
TM00000103,TK0000103,bot,问题已处理，请确认,2025-03-06 11:44:05,text
TM00000104,TK0000104,user,请提供相关订单信息,2025-02-23 13:15:04,text
TM00000105,TK0000105,bot,已收到您的问题，正在核实,2026-08-17 05:44:09,text
TM00000106,TK0000106,agent,问题已处理，请确认,2025-01-08 07:47:58,text
TM00000107,TK0000107,user,请提供相关订单信息,2025-12-29 19:16:57,text
TM00000108,TK0000108,agent,请提供相关订单信息,2025-11-23 04:53:41,image
TM00000109,TK0000109,agent,感谢您的耐心等待,2025-12-13 18:19:46,text
TM00000110,TK0000110,agent,问题已处理，请确认,2025-10-11 13:23:55,text
TM00000111,TK0000111,bot,咨询当前处理进度,2025-03-13 00:15:49,text
TM00000112,TK0000112,user,已收到您的问题，正在核实,2026-01-31 03:12:08,text
TM00000113,TK0000113,user,咨询当前处理进度,2025-09-25 15:40:19,text
TM00000114,TK0000114,user,请提供相关订单信息,2025-08-13 17:41:09,text
TM00000115,TK0000115,bot,已收到您的问题，正在核实,2026-03-22 11:23:09,text
TM00000116,TK0000116,user,已收到您的问题，正在核实,2026-01-13 20:41:13,text
TM00000117,TK0000117,user,请提供相关订单信息,2025-07-11 23:34:14,text
TM00000118,TK0000118,user,申请退款或补发,2026-01-03 03:11:18,text
TM00000119,TK0000119,agent,申请退款或补发,2025-08-17 23:52:07,text
TM00000120,TK0000120,agent,已收到您的问题，正在核实,2025-10-11 01:49:52,text
TM00000121,TK0000121,agent,问题已处理，请确认,2025-12-26 11:29:37,text
TM00000122,TK0000122,user,问题已处理，请确认,2026-07-25 00:38:33,text
TM00000123,TK0000123,user,请提供相关订单信息,2025-02-13 04:34:23,text
TM00000124,TK0000124,user,请提供相关订单信息,2025-02-24 13:21:19,text
TM00000125,TK0000125,agent,感谢您的耐心等待,2025-09-07 19:44:34,text
TM00000126,TK0000126,user,问题已处理，请确认,2025-01-15 01:31:34,text
TM00000127,TK0000127,agent,问题已处理，请确认,2026-06-19 21:06:59,text
TM00000128,TK0000128,user,请提供相关订单信息,2026-08-02 14:35:32,text
TM00000129,TK0000129,agent,问题已处理，请确认,2025-04-01 09:22:31,text
TM00000130,TK0000130,user,感谢您的耐心等待,2025-08-22 04:56:28,text
TM00000131,TK0000131,agent,问题已处理，请确认,2025-04-25 06:12:58,text
TM00000132,TK0000132,agent,请提供相关订单信息,2026-05-31 04:21:09,text
TM00000133,TK0000133,agent,申请退款或补发,2025-06-26 16:53:43,text
TM00000134,TK0000134,user,申请退款或补发,2025-06-24 22:50:41,system
TM00000135,TK0000135,agent,已收到您的问题，正在核实,2025-06-05 05:46:07,text
TM00000136,TK0000136,agent,已收到您的问题，正在核实,2025-08-19 01:49:57,text
TM00000137,TK0000137,agent,请提供相关订单信息,2026-03-13 22:49:11,text
TM00000138,TK0000138,agent,请提供相关订单信息,2025-06-16 02:09:11,system
TM00000139,TK0000139,agent,已收到您的问题，正在核实,2026-05-11 23:28:51,text
TM00000140,TK0000140,agent,申请退款或补发,2026-02-07 03:26:20,text
TM00000141,TK0000141,agent,申请退款或补发,2025-07-07 11:46:25,text
TM00000142,TK0000142,user,已收到您的问题，正在核实,2025-10-27 02:40:54,text
TM00000143,TK0000143,bot,咨询当前处理进度,2026-07-12 10:05:38,text
TM00000144,TK0000144,agent,已收到您的问题，正在核实,2025-01-20 20:14:19,text
TM00000145,TK0000145,agent,问题已处理，请确认,2025-07-09 11:29:50,text
TM00000146,TK0000146,agent,请提供相关订单信息,2025-07-09 18:23:18,text
TM00000147,TK0000147,bot,感谢您的耐心等待,2025-02-04 00:38:39,text
TM00000148,TK0000148,agent,咨询当前处理进度,2026-06-19 23:27:38,text
TM00000149,TK0000149,agent,咨询当前处理进度,2026-07-11 05:41:29,text
TM00000150,TK0000150,agent,请提供相关订单信息,2026-03-24 02:45:02,text
TM00000151,TK0000151,agent,感谢您的耐心等待,2025-09-24 19:49:17,text
TM00000152,TK0000152,user,问题已处理，请确认,2025-12-10 22:36:52,text
TM00000153,TK0000153,user,咨询当前处理进度,2026-07-26 05:18:05,text
TM00000154,TK0000154,user,请提供相关订单信息,2026-01-16 09:23:49,text
TM00000155,TK0000155,agent,问题已处理，请确认,2025-10-15 21:51:29,text
TM00000156,TK0000156,bot,已收到您的问题，正在核实,2026-03-21 15:26:12,text
TM00000157,TK0000157,bot,感谢您的耐心等待,2026-03-27 20:24:55,text
TM00000158,TK0000158,agent,申请退款或补发,2026-08-27 11:30:30,image
TM00000159,TK0000159,user,咨询当前处理进度,2025-08-17 20:09:20,text
TM00000160,TK0000160,user,已收到您的问题，正在核实,2025-02-25 08:12:22,text
TM00000161,TK0000161,user,感谢您的耐心等待,2026-03-02 03:57:30,text
TM00000162,TK0000162,agent,已收到您的问题，正在核实,2026-04-28 03:14:48,text
TM00000163,TK0000163,agent,申请退款或补发,2026-07-30 19:52:02,text
TM00000164,TK0000164,agent,请提供相关订单信息,2025-03-18 09:29:51,text
TM00000165,TK0000165,agent,已收到您的问题，正在核实,2026-06-10 09:08:19,text
TM00000166,TK0000166,agent,已收到您的问题，正在核实,2026-04-26 22:49:35,text
TM00000167,TK0000167,agent,问题已处理，请确认,2026-08-06 22:04:49,text
TM00000168,TK0000168,user,申请退款或补发,2026-03-08 02:07:25,text
TM00000169,TK0000169,user,问题已处理，请确认,2025-04-09 18:13:52,text
TM00000170,TK0000170,bot,感谢您的耐心等待,2026-02-10 02:39:14,text
TM00000171,TK0000171,agent,问题已处理，请确认,2025-09-20 17:24:14,text
TM00000172,TK0000172,agent,问题已处理，请确认,2026-04-07 14:33:35,text
TM00000173,TK0000173,agent,已收到您的问题，正在核实,2025-08-25 10:13:17,text
TM00000174,TK0000174,user,已收到您的问题，正在核实,2025-06-17 09:57:56,text
TM00000175,TK0000175,agent,问题已处理，请确认,2026-08-06 01:02:36,text
TM00000176,TK0000176,user,已收到您的问题，正在核实,2025-08-19 06:39:18,text
TM00000177,TK0000177,user,感谢您的耐心等待,2026-08-10 08:56:12,system
TM00000178,TK0000178,agent,已收到您的问题，正在核实,2025-10-23 17:54:34,text
TM00000179,TK0000179,user,感谢您的耐心等待,2026-01-25 12:34:07,text
TM00000180,TK0000180,agent,申请退款或补发,2025-05-25 20:15:42,text
TM00000181,TK0000181,agent,请提供相关订单信息,2025-08-11 14:32:55,text
TM00000182,TK0000182,agent,问题已处理，请确认,2025-09-16 01:11:42,text
TM00000183,TK0000183,agent,申请退款或补发,2025-08-15 08:05:22,text
TM00000184,TK0000184,user,已收到您的问题，正在核实,2025-06-18 02:25:51,text
TM00000185,TK0000185,agent,感谢您的耐心等待,2026-08-18 15:44:08,text
TM00000186,TK0000186,user,已收到您的问题，正在核实,2025-10-25 08:40:03,text
TM00000187,TK0000187,user,咨询当前处理进度,2025-09-24 07:28:18,text
TM00000188,TK0000188,user,请提供相关订单信息,2026-08-22 18:03:17,text
TM00000189,TK0000189,user,感谢您的耐心等待,2025-03-15 08:48:22,system
TM00000190,TK0000190,agent,问题已处理，请确认,2025-08-18 14:01:32,text
TM00000191,TK0000191,user,申请退款或补发,2025-06-09 16:41:39,system
TM00000192,TK0000192,agent,咨询当前处理进度,2026-07-03 04:22:52,text
TM00000193,TK0000193,agent,已收到您的问题，正在核实,2025-04-12 02:03:29,text
TM00000194,TK0000194,user,问题已处理，请确认,2026-06-20 11:42:47,text
TM00000195,TK0000195,agent,咨询当前处理进度,2025-02-25 15:50:46,text
TM00000196,TK0000196,user,咨询当前处理进度,2026-06-03 12:56:55,text
TM00000197,TK0000197,agent,已收到您的问题，正在核实,2026-08-28 04:07:13,text
TM00000198,TK0000198,user,请提供相关订单信息,2025-07-11 04:45:55,text
TM00000199,TK0000199,agent,申请退款或补发,2026-05-19 20:08:25,text
TM00000200,TK0000200,agent,感谢您的耐心等待,2025-05-05 17:53:42,system
TM00000201,TK0000201,agent,问题已处理，请确认,2025-01-14 09:53:29,image
TM00000202,TK0000202,user,问题已处理，请确认,2026-07-02 15:25:02,text
TM00000203,TK0000203,agent,申请退款或补发,2025-08-29 09:19:36,text
TM00000204,TK0000204,user,问题已处理，请确认,2025-04-13 01:28:42,text
TM00000205,TK0000205,user,已收到您的问题，正在核实,2025-12-11 22:25:45,text
TM00000206,TK0000206,agent,咨询当前处理进度,2025-11-13 01:01:38,image
TM00000207,TK0000207,user,问题已处理，请确认,2026-01-28 17:11:35,text
TM00000208,TK0000208,user,请提供相关订单信息,2026-07-11 19:46:51,text
TM00000209,TK0000209,bot,咨询当前处理进度,2025-10-09 01:54:51,text
TM00000210,TK0000210,agent,咨询当前处理进度,2025-11-09 07:27:23,text
TM00000211,TK0000211,agent,申请退款或补发,2025-05-12 14:34:41,text
TM00000212,TK0000212,agent,申请退款或补发,2025-07-15 19:50:49,text
TM00000213,TK0000213,bot,申请退款或补发,2026-01-10 21:40:48,text
TM00000214,TK0000214,agent,咨询当前处理进度,2025-03-27 00:28:12,text
TM00000215,TK0000215,user,请提供相关订单信息,2025-09-19 02:36:07,text
TM00000216,TK0000216,user,请提供相关订单信息,2025-04-03 14:29:18,text
TM00000217,TK0000217,bot,问题已处理，请确认,2025-03-05 07:43:00,text
TM00000218,TK0000218,user,咨询当前处理进度,2026-02-23 18:06:15,text
TM00000219,TK0000219,user,已收到您的问题，正在核实,2026-05-03 20:34:45,text
TM00000220,TK0000220,agent,请提供相关订单信息,2025-05-02 22:37:08,text
TM00000221,TK0000221,agent,感谢您的耐心等待,2026-08-01 10:15:11,text
TM00000222,TK0000222,agent,问题已处理，请确认,2025-06-02 03:21:51,text
TM00000223,TK0000223,agent,已收到您的问题，正在核实,2025-01-21 10:53:01,text
TM00000224,TK0000224,user,问题已处理，请确认,2026-05-09 03:22:44,text
TM00000225,TK0000225,user,感谢您的耐心等待,2026-04-23 07:15:09,text
TM00000226,TK0000226,agent,问题已处理，请确认,2025-02-06 23:38:27,text
TM00000227,TK0000227,agent,申请退款或补发,2026-08-14 15:30:12,text
TM00000228,TK0000228,agent,请提供相关订单信息,2025-01-28 11:27:36,text
TM00000229,TK0000229,agent,已收到您的问题，正在核实,2026-06-23 21:03:12,text
TM00000230,TK0000230,user,已收到您的问题，正在核实,2025-01-26 07:19:47,text
TM00000231,TK0000231,user,请提供相关订单信息,2026-06-28 05:21:56,text
TM00000232,TK0000232,bot,咨询当前处理进度,2026-06-29 12:19:44,text
TM00000233,TK0000233,user,请提供相关订单信息,2025-04-23 03:17:33,image
TM00000234,TK0000234,agent,请提供相关订单信息,2025-01-07 01:53:29,text
TM00000235,TK0000235,user,问题已处理，请确认,2025-08-21 06:02:27,text
TM00000236,TK0000236,bot,请提供相关订单信息,2025-10-13 15:52:42,text
TM00000237,TK0000237,user,请提供相关订单信息,2025-09-18 10:43:31,text
TM00000238,TK0000238,bot,已收到您的问题，正在核实,2025-02-08 02:29:11,text
TM00000239,TK0000239,bot,问题已处理，请确认,2025-03-03 13:11:27,text
TM00000240,TK0000240,user,申请退款或补发,2026-05-26 06:22:09,system
TM00000241,TK0000241,agent,已收到您的问题，正在核实,2025-12-05 05:50:09,text
TM00000242,TK0000242,bot,问题已处理，请确认,2026-07-16 20:57:15,text
TM00000243,TK0000243,agent,咨询当前处理进度,2025-01-04 21:37:03,text
TM00000244,TK0000244,bot,申请退款或补发,2025-10-17 23:47:35,text
TM00000245,TK0000245,agent,已收到您的问题，正在核实,2025-09-14 02:45:03,image
TM00000246,TK0000246,bot,已收到您的问题，正在核实,2026-01-28 16:51:13,text
TM00000247,TK0000247,user,请提供相关订单信息,2025-09-15 04:22:48,text
TM00000248,TK0000248,user,申请退款或补发,2026-05-18 20:24:48,text
TM00000249,TK0000249,bot,感谢您的耐心等待,2025-02-27 08:36:41,image
TM00000250,TK0000250,bot,请提供相关订单信息,2026-02-16 13:44:43,text
TM00000251,TK0000251,user,已收到您的问题，正在核实,2025-08-17 07:09:16,image
TM00000252,TK0000252,agent,已收到您的问题，正在核实,2025-01-01 11:41:50,text
TM00000253,TK0000253,user,申请退款或补发,2025-09-12 09:34:07,image
TM00000254,TK0000254,user,问题已处理，请确认,2025-08-31 14:20:57,text
TM00000255,TK0000255,bot,咨询当前处理进度,2026-05-28 05:11:53,text
TM00000256,TK0000256,user,问题已处理，请确认,2026-04-21 04:45:01,text
TM00000257,TK0000257,bot,申请退款或补发,2026-05-07 14:24:18,image
TM00000258,TK0000258,agent,咨询当前处理进度,2025-02-28 19:18:52,text
TM00000259,TK0000259,agent,已收到您的问题，正在核实,2025-08-22 21:51:49,text
TM00000260,TK0000260,user,申请退款或补发,2026-07-24 09:27:03,image
TM00000261,TK0000261,agent,咨询当前处理进度,2025-12-11 13:04:33,text
TM00000262,TK0000262,bot,咨询当前处理进度,2025-09-20 04:32:39,image
TM00000263,TK0000263,agent,咨询当前处理进度,2026-04-04 11:50:01,system
TM00000264,TK0000264,bot,请提供相关订单信息,2025-05-29 12:44:37,text
TM00000265,TK0000265,agent,已收到您的问题，正在核实,2026-04-02 00:08:15,text
TM00000266,TK0000266,user,已收到您的问题，正在核实,2026-03-27 11:53:30,text
TM00000267,TK0000267,user,已收到您的问题，正在核实,2025-03-08 00:53:24,text
TM00000268,TK0000268,agent,咨询当前处理进度,2025-06-11 09:22:04,text
TM00000269,TK0000269,user,请提供相关订单信息,2026-07-08 04:23:49,text
TM00000270,TK0000270,agent,咨询当前处理进度,2026-07-03 19:30:25,text
TM00000271,TK0000271,user,感谢您的耐心等待,2026-01-06 02:53:33,text
TM00000272,TK0000272,user,请提供相关订单信息,2026-01-10 16:03:35,text
TM00000273,TK0000273,agent,咨询当前处理进度,2026-02-04 09:28:48,text
TM00000274,TK0000274,agent,咨询当前处理进度,2026-04-28 02:06:23,text
TM00000275,TK0000275,agent,问题已处理，请确认,2025-07-14 18:28:44,text
TM00000276,TK0000276,agent,已收到您的问题，正在核实,2025-10-03 06:20:32,text
TM00000277,TK0000277,user,请提供相关订单信息,2025-07-30 02:20:52,text
TM00000278,TK0000278,agent,请提供相关订单信息,2026-01-01 08:11:32,text
TM00000279,TK0000279,user,已收到您的问题，正在核实,2025-06-30 06:56:31,text
TM00000280,TK0000280,agent,咨询当前处理进度,2025-07-16 07:26:33,image
TM00000281,TK0000281,bot,问题已处理，请确认,2026-04-29 18:10:06,text
TM00000282,TK0000282,bot,已收到您的问题，正在核实,2025-03-02 05:05:22,text
TM00000283,TK0000283,agent,感谢您的耐心等待,2026-07-30 09:29:32,text
TM00000284,TK0000284,user,问题已处理，请确认,2026-07-23 14:00:53,text
TM00000285,TK0000285,user,问题已处理，请确认,2025-02-23 18:36:56,text
TM00000286,TK0000286,user,咨询当前处理进度,2025-06-30 09:22:51,text
TM00000287,TK0000287,agent,请提供相关订单信息,2025-08-04 09:43:33,text
TM00000288,TK0000288,agent,已收到您的问题，正在核实,2025-02-23 05:01:45,text
TM00000289,TK0000289,user,感谢您的耐心等待,2025-11-04 18:45:21,text
TM00000290,TK0000290,agent,申请退款或补发,2025-06-13 00:18:01,system
TM00000291,TK0000291,agent,感谢您的耐心等待,2025-05-03 16:01:41,text
TM00000292,TK0000292,user,申请退款或补发,2025-07-17 23:00:45,text
TM00000293,TK0000293,agent,感谢您的耐心等待,2026-07-08 13:30:45,text
TM00000294,TK0000294,agent,感谢您的耐心等待,2025-11-28 03:43:32,text
TM00000295,TK0000295,user,感谢您的耐心等待,2025-02-16 05:44:21,text
TM00000296,TK0000296,user,请提供相关订单信息,2025-01-16 10:59:29,text
TM00000297,TK0000297,user,申请退款或补发,2026-06-21 05:35:45,text
TM00000298,TK0000298,bot,感谢您的耐心等待,2026-06-22 07:47:00,text
TM00000299,TK0000299,agent,已收到您的问题，正在核实,2025-12-17 07:56:25,text
TM00000300,TK0000300,agent,请提供相关订单信息,2025-05-05 05:32:07,text
TM00000301,TK0000301,agent,申请退款或补发,2026-06-17 12:15:12,text
TM00000302,TK0000302,user,请提供相关订单信息,2025-04-29 07:08:54,text
TM00000303,TK0000303,user,感谢您的耐心等待,2026-08-05 10:08:36,text
TM00000304,TK0000304,agent,申请退款或补发,2026-07-01 09:59:28,text
TM00000305,TK0000305,user,咨询当前处理进度,2026-03-12 08:33:47,text
TM00000306,TK0000306,agent,已收到您的问题，正在核实,2025-11-20 21:04:52,text
TM00000307,TK0000307,agent,申请退款或补发,2026-08-07 13:58:05,text
TM00000308,TK0000308,agent,请提供相关订单信息,2026-07-08 14:04:51,text
TM00000309,TK0000309,user,已收到您的问题，正在核实,2026-03-25 15:52:26,text
TM00000310,TK0000310,agent,问题已处理，请确认,2025-07-06 21:41:52,text
TM00000311,TK0000311,user,已收到您的问题，正在核实,2026-04-18 01:08:05,text
TM00000312,TK0000312,agent,感谢您的耐心等待,2026-06-17 13:38:39,text
TM00000313,TK0000313,user,问题已处理，请确认,2025-10-03 13:59:49,text
TM00000314,TK0000314,agent,请提供相关订单信息,2026-03-26 23:24:27,text
TM00000315,TK0000315,agent,咨询当前处理进度,2025-03-09 15:07:07,text
TM00000316,TK0000316,user,请提供相关订单信息,2025-04-04 01:33:32,text
TM00000317,TK0000317,user,已收到您的问题，正在核实,2025-05-30 16:30:17,text
TM00000318,TK0000318,agent,已收到您的问题，正在核实,2026-05-07 22:38:02,text
TM00000319,TK0000319,agent,申请退款或补发,2025-09-23 00:58:32,text
TM00000320,TK0000320,agent,申请退款或补发,2025-01-28 15:52:11,text
TM00000321,TK0000321,agent,咨询当前处理进度,2025-07-03 03:41:17,text
TM00000322,TK0000322,user,咨询当前处理进度,2026-03-20 00:06:16,text
TM00000323,TK0000323,user,请提供相关订单信息,2025-01-14 19:49:02,text
TM00000324,TK0000324,user,感谢您的耐心等待,2025-12-27 17:17:18,text
TM00000325,TK0000325,user,感谢您的耐心等待,2025-06-09 23:51:17,text
TM00000326,TK0000326,agent,咨询当前处理进度,2026-04-22 16:34:27,text
TM00000327,TK0000327,agent,感谢您的耐心等待,2025-12-05 13:18:49,text
TM00000328,TK0000328,user,请提供相关订单信息,2025-03-06 18:27:44,text
TM00000329,TK0000329,agent,咨询当前处理进度,2025-09-16 16:27:01,text
TM00000330,TK0000330,agent,问题已处理，请确认,2026-03-22 05:49:38,text
TM00000331,TK0000331,bot,感谢您的耐心等待,2026-02-02 09:32:44,text
TM00000332,TK0000332,bot,申请退款或补发,2026-05-11 09:11:53,text
TM00000333,TK0000333,agent,问题已处理，请确认,2025-05-25 16:26:51,text
TM00000334,TK0000334,bot,申请退款或补发,2025-01-08 10:59:14,text
TM00000335,TK0000335,agent,感谢您的耐心等待,2026-02-28 10:44:34,text
TM00000336,TK0000336,user,请提供相关订单信息,2025-11-10 09:45:58,text
TM00000337,TK0000337,user,咨询当前处理进度,2025-01-06 08:24:16,text
TM00000338,TK0000338,bot,已收到您的问题，正在核实,2025-06-07 00:23:37,text
TM00000339,TK0000339,agent,问题已处理，请确认,2025-03-22 13:01:40,text
TM00000340,TK0000340,agent,申请退款或补发,2025-10-17 03:26:13,text
TM00000341,TK0000341,agent,感谢您的耐心等待,2025-04-12 02:18:43,text
TM00000342,TK0000342,agent,问题已处理，请确认,2025-12-29 08:12:09,text
TM00000343,TK0000343,bot,问题已处理，请确认,2025-04-30 14:23:55,text
TM00000344,TK0000344,user,申请退款或补发,2026-05-10 17:17:47,text
TM00000345,TK0000345,user,问题已处理，请确认,2025-06-25 11:48:14,text
TM00000346,TK0000346,agent,感谢您的耐心等待,2025-06-24 04:22:02,image
TM00000347,TK0000347,agent,请提供相关订单信息,2025-07-02 18:20:07,text
TM00000348,TK0000348,user,问题已处理，请确认,2026-01-03 19:22:45,text
