supplier_id,supplier_name,region,province,city,supplier_grade,lead_time_days,on_time_rate,status
SUP0118,上海模拟供应链118号,华东,上海,上海,B,13,0.8291,active
SUP0119,天津模拟供应链119号,华北,天津,天津,C,28,0.9081,active
SUP0120,武汉模拟供应链120号,华中,湖北,武汉,B,27,0.967,active
SUP0121,南宁模拟供应链121号,华南,广西,南宁,B,16,0.9562,active
SUP0122,重庆模拟供应链122号,西南,重庆,重庆,A,28,0.8693,active
SUP0123,南京模拟供应链123号,华东,江苏,南京,A,17,0.8216,active
SUP0124,南宁模拟供应链124号,华南,广西,南宁,B,27,0.8378,active
SUP0125,南宁模拟供应链125号,华南,广西,南宁,B,25,0.8687,suspended
SUP0126,天津模拟供应链126号,华北,天津,天津,C,15,0.9835,active
SUP0127,南京模拟供应链127号,华东,江苏,南京,B,7,0.9053,active
SUP0128,太原模拟供应链128号,华北,山西,太原,C,5,0.8823,active
SUP0129,南宁模拟供应链129号,华南,广西,南宁,A,16,0.9708,active
SUP0130,上海模拟供应链130号,华东,上海,上海,B,16,0.8495,active
SUP0131,重庆模拟供应链131号,西南,重庆,重庆,C,20,0.9065,active
SUP0132,青岛模拟供应链132号,华东,山东,青岛,B,13,0.86,active
SUP0133,南京模拟供应链133号,华东,江苏,南京,B,7,0.9026,active
SUP0134,重庆模拟供应链134号,西南,重庆,重庆,B,22,0.8402,active
SUP0135,郑州模拟供应链135号,华中,河南,郑州,A,8,0.9877,active
SUP0136,南昌模拟供应链136号,华中,江西,南昌,B,12,0.9132,active
SUP0137,上海模拟供应链137号,华东,上海,上海,C,8,0.8569,active
SUP0138,天津模拟供应链138号,华北,天津,天津,A,6,0.9857,active
SUP0139,贵阳模拟供应链139号,西南,贵州,贵阳,B,22,0.8598,active
SUP0140,南宁模拟供应链140号,华南,广西,南宁,C,9,0.8287,active
SUP0141,杭州模拟供应链141号,华东,浙江,杭州,C,28,0.8905,active
SUP0142,重庆模拟供应链142号,西南,重庆,重庆,B,23,0.9688,active
SUP0143,郑州模拟供应链143号,华中,河南,郑州,B,14,0.9099,active
SUP0144,南宁模拟供应链144号,华南,广西,南宁,B,16,0.9641,active
SUP0145,长沙模拟供应链145号,华中,湖南,长沙,C,5,0.9516,active
SUP0146,厦门模拟供应链146号,华南,福建,厦门,A,19,0.8317,active
SUP0147,太原模拟供应链147号,华北,山西,太原,C,28,0.9107,active
SUP0148,厦门模拟供应链148号,华南,福建,厦门,B,11,0.9263,active
SUP0149,北京模拟供应链149号,华北,北京,北京,B,21,0.8445,active
SUP0150,南京模拟供应链150号,华东,江苏,南京,B,15,0.9008,active
