target_id,target_month,store_id,gmv_target,net_revenue_target,order_target,conversion_rate_target,owner_name
TGT0000031,2026-01,S0031,1579486.76,1483020.55,2594,0.0431,负责人02
TGT0000032,2026-01,S0032,558522.85,436417.83,3238,0.0764,负责人03
TGT0000033,2026-01,S0033,1378935.24,1142468.07,2911,0.0292,负责人04
TGT0000034,2026-01,S0034,291378.21,233876.48,1611,0.0314,负责人05
TGT0000035,2026-01,S0035,1170301.86,985911.66,601,0.0777,负责人06
TGT0000036,2026-01,S0036,1302192.23,1135522.75,767,0.057,负责人07
TGT0000037,2026-01,S0037,1777388.76,1440780.46,3008,0.0567,负责人08
TGT0000038,2026-01,S0038,1649148.61,1436827.94,2863,0.0664,负责人09
TGT0000039,2026-01,S0039,1359430.19,1100544.4,2102,0.0399,负责人10
TGT0000040,2026-01,S0040,526662.57,489145.83,1543,0.0822,负责人11
TGT0000041,2026-01,S0041,1469782.75,1185930.68,4093,0.0485,负责人12
TGT0000042,2026-01,S0042,1461658.08,1253068.59,1202,0.0837,负责人13
TGT0000043,2026-01,S0043,328337.28,308023.48,1148,0.0853,负责人14
TGT0000044,2026-01,S0044,588340.81,529092.64,1191,0.0655,负责人15
TGT0000045,2026-01,S0045,1447842.22,1323997.49,810,0.0335,负责人16
TGT0000046,2026-01,S0046,867629.77,690354.61,2706,0.0899,负责人17
TGT0000047,2026-01,S0047,1781236.42,1494788.32,1394,0.0791,负责人18
TGT0000048,2026-01,S0048,617379.06,579990.02,1121,0.0799,负责人19
TGT0000049,2026-01,S0049,1514071.7,1387490.88,620,0.0817,负责人20
TGT0000050,2026-01,S0050,831229.73,779537.8,2836,0.0678,负责人21
TGT0000051,2026-01,S0051,729240.26,644604.78,3564,0.0613,负责人22
TGT0000052,2026-01,S0052,1165234.47,1010633.77,2088,0.043,负责人23
TGT0000053,2026-01,S0053,1618825.68,1398697.49,2930,0.063,负责人24
TGT0000054,2026-01,S0054,1585867.69,1360851.9,1221,0.0304,负责人25
TGT0000055,2026-01,S0055,239876.2,190482.99,1595,0.0841,负责人26
TGT0000056,2026-01,S0056,796021.87,627680.69,1918,0.0372,负责人27
TGT0000057,2026-01,S0057,941991.63,846862.06,1706,0.0326,负责人28
TGT0000058,2026-01,S0058,1688743.68,1509194.92,2800,0.0595,负责人29
TGT0000059,2026-01,S0059,1579354.21,1480916.9,1354,0.0778,负责人30
TGT0000060,2026-01,S0060,1105492.19,944848.83,920,0.0843,负责人01
TGT0000061,2026-01,S0061,525765.97,451629.06,521,0.088,负责人02
TGT0000062,2026-01,S0062,835419.87,694563.27,2419,0.0831,负责人03
TGT0000063,2026-01,S0063,331269.72,308053.33,2748,0.0325,负责人04
TGT0000064,2026-01,S0064,1209596.49,1022194.56,1495,0.0331,负责人05
TGT0000065,2026-01,S0065,829918.03,747666.2,2883,0.0433,负责人06
TGT0000066,2026-01,S0066,1363539.76,1098516.98,2069,0.0265,负责人07
TGT0000067,2026-01,S0067,413883.2,346068.35,3605,0.0598,负责人08
TGT0000068,2026-01,S0068,268304.56,219594.17,2760,0.0568,负责人09
TGT0000069,2026-01,S0069,322507.59,253502.81,1653,0.0351,负责人10
TGT0000070,2026-01,S0070,825408.11,719179.58,2078,0.0619,负责人11
TGT0000071,2026-01,S0071,545461.22,454713.35,742,0.0698,负责人12
TGT0000072,2026-01,S0072,1126974.25,918424.79,1395,0.0355,负责人13
TGT0000073,2026-01,S0073,461858.3,377577.27,867,0.0693,负责人14
TGT0000074,2026-01,S0074,1302972.75,1158302.99,3460,0.0347,负责人15
TGT0000075,2026-01,S0075,432165.81,404002.21,1152,0.0645,负责人16
TGT0000076,2026-01,S0076,664635.63,614368.71,2152,0.0698,负责人17
TGT0000077,2026-01,S0077,408220.78,382529.53,390,0.0869,负责人18
TGT0000078,2026-01,S0078,480811.24,414955.62,657,0.0603,负责人19
TGT0000079,2026-01,S0079,558897.06,461753.11,1270,0.0797,负责人20
TGT0000080,2026-01,S0080,239769.23,202331.46,416,0.0529,负责人21
TGT0000081,2026-02,S0001,1198619.83,1023592.88,3586,0.0726,负责人02
TGT0000082,2026-02,S0002,609564.73,498942.75,655,0.043,负责人03
TGT0000083,2026-02,S0003,617147.2,540328.2,400,0.0386,负责人04
TGT0000084,2026-02,S0004,1068728.96,890340.45,2181,0.0436,负责人05
TGT0000085,2026-02,S0005,901271.63,774712.45,457,0.0418,负责人06
TGT0000086,2026-02,S0006,454678.29,399277.97,820,0.0324,负责人07
TGT0000087,2026-02,S0007,1558962.27,1433919.39,3238,0.0873,负责人08
TGT0000088,2026-02,S0008,1209980.81,1015449.06,622,0.0704,负责人09
TGT0000089,2026-02,S0009,201514.86,157932.22,1890,0.0374,负责人10
TGT0000090,2026-02,S0010,1595100.45,1254368.9,2220,0.0408,负责人11
TGT0000091,2026-02,S0011,1587034.17,1412395.1,1546,0.0482,负责人12
TGT0000092,2026-02,S0012,1061142.06,978391.85,1999,0.0848,负责人13
TGT0000093,2026-02,S0013,964170.45,794433.74,726,0.0394,负责人14
TGT0000094,2026-02,S0014,1594404.41,1473096.3,2897,0.0539,负责人15
TGT0000095,2026-02,S0015,547679.94,438646.09,4097,0.0551,负责人16
TGT0000096,2026-02,S0016,1010230.44,887300.59,2640,0.0677,负责人17
TGT0000097,2026-02,S0017,803743.92,648015.98,1630,0.0815,负责人18
TGT0000098,2026-02,S0018,1064120.59,946769.75,2724,0.0773,负责人19
TGT0000099,2026-02,S0019,755984.05,683612.48,2170,0.0291,负责人20
TGT0000100,2026-02,S0020,1795630.49,1616636.96,2449,0.028,负责人21
TGT0000101,2026-02,S0021,1313814.82,1089098.38,2834,0.0841,负责人22
TGT0000102,2026-02,S0022,214745.01,198776.98,1253,0.0831,负责人23
TGT0000103,2026-02,S0023,1113481.97,930339.12,1957,0.0434,负责人24
TGT0000104,2026-02,S0024,563283.62,492023.52,422,0.0785,负责人25
TGT0000105,2026-02,S0025,1730985.53,1437076.67,3019,0.068,负责人26
TGT0000106,2026-02,S0026,1306958.6,1030933.37,3150,0.072,负责人27
TGT0000107,2026-02,S0027,1380514.14,1163300.38,2857,0.0785,负责人28
TGT0000108,2026-02,S0028,1240869.85,1008853.51,1874,0.0431,负责人29
TGT0000109,2026-02,S0029,1680675.52,1423376.53,3790,0.0737,负责人30
TGT0000110,2026-02,S0030,198908.29,183450.51,1501,0.0392,负责人01
TGT0000111,2026-02,S0031,892279.66,831490.63,3458,0.0636,负责人02
TGT0000112,2026-02,S0032,1568483.18,1232784.76,533,0.0583,负责人03
TGT0000113,2026-02,S0033,481475.73,450512.5,2353,0.054,负责人04
TGT0000114,2026-02,S0034,1064650.12,832858.41,3044,0.0498,负责人05
TGT0000115,2026-02,S0035,1795674.23,1473065.74,1507,0.0287,负责人06
TGT0000116,2026-02,S0036,1359756.57,1265957.69,2726,0.0837,负责人07
TGT0000117,2026-02,S0037,597053.52,481573.39,3164,0.056,负责人08
TGT0000118,2026-02,S0038,762954.65,601765.61,1725,0.0877,负责人09
TGT0000119,2026-02,S0039,431725.47,373674.57,3211,0.0725,负责人10
TGT0000120,2026-02,S0040,811633.96,716011.31,2862,0.0406,负责人11
TGT0000121,2026-02,S0041,719619.51,605610.61,3961,0.0304,负责人12
TGT0000122,2026-02,S0042,1154806.49,1061368.9,3662,0.0324,负责人13
TGT0000123,2026-02,S0043,987679.79,824721.79,2748,0.068,负责人14
TGT0000124,2026-02,S0044,260708.52,207845.57,2998,0.048,负责人15
TGT0000125,2026-02,S0045,1403889.99,1188036.78,3148,0.0433,负责人16
TGT0000126,2026-02,S0046,440880.91,378395.36,3652,0.0853,负责人17
TGT0000127,2026-02,S0047,329556.68,305539.39,2297,0.0788,负责人18
TGT0000128,2026-02,S0048,1540213.84,1224883.33,1801,0.0727,负责人19
TGT0000129,2026-02,S0049,730523.73,645883.99,3683,0.0729,负责人20
TGT0000130,2026-02,S0050,630244.12,496654.76,3286,0.0716,负责人21
TGT0000131,2026-02,S0051,958513.69,850643.76,1630,0.0831,负责人22
TGT0000132,2026-02,S0052,1702949.02,1566739.1,3721,0.0284,负责人23
TGT0000133,2026-02,S0053,317146.7,270846.34,1560,0.0656,负责人24
TGT0000134,2026-02,S0054,1337530.63,1066609.34,1508,0.0563,负责人25
TGT0000135,2026-02,S0055,1623730.42,1369399.52,3633,0.0408,负责人26
TGT0000136,2026-02,S0056,188151.83,158134.4,2816,0.0892,负责人27
TGT0000137,2026-02,S0057,1189829.94,1011627.97,2476,0.0626,负责人28
TGT0000138,2026-02,S0058,1112044.75,1038404.64,2973,0.0569,负责人29
TGT0000139,2026-02,S0059,1594598.31,1419712.03,964,0.0646,负责人30
TGT0000140,2026-02,S0060,358009.0,304073.83,3346,0.0892,负责人01
TGT0000141,2026-02,S0061,1324008.98,1241666.32,1238,0.0529,负责人02
TGT0000142,2026-02,S0062,848256.17,781840.5,2780,0.0441,负责人03
TGT0000143,2026-02,S0063,414045.12,326519.11,913,0.0467,负责人04
TGT0000144,2026-02,S0064,910232.11,846443.22,2326,0.0347,负责人05
TGT0000145,2026-02,S0065,1547209.83,1329450.4,2548,0.0841,负责人06
TGT0000146,2026-02,S0066,1097446.01,976026.08,2184,0.0538,负责人07
TGT0000147,2026-02,S0067,238096.95,197929.82,3868,0.0685,负责人08
TGT0000148,2026-02,S0068,1661547.92,1449907.59,2642,0.0733,负责人09
TGT0000149,2026-02,S0069,916347.34,719672.09,1756,0.0349,负责人10
TGT0000150,2026-02,S0070,1172607.02,1085849.42,3195,0.0809,负责人11
TGT0000151,2026-02,S0071,367423.52,309843.17,2626,0.0496,负责人12
TGT0000152,2026-02,S0072,1675378.37,1561106.81,1047,0.0837,负责人13
TGT0000153,2026-02,S0073,1047605.07,947809.91,2503,0.0305,负责人14
TGT0000154,2026-02,S0074,1050912.76,971093.32,3728,0.0872,负责人15
TGT0000155,2026-02,S0075,212974.45,188263.63,602,0.052,负责人16
TGT0000156,2026-02,S0076,595025.68,540998.96,3508,0.0501,负责人17
TGT0000157,2026-02,S0077,1317787.82,1119304.99,1195,0.0677,负责人18
TGT0000158,2026-02,S0078,806958.66,715237.54,1882,0.086,负责人19
TGT0000159,2026-02,S0079,1457954.35,1318559.32,666,0.0423,负责人20
TGT0000160,2026-02,S0080,1093225.51,874100.56,575,0.0852,负责人21
TGT0000161,2026-03,S0001,424374.97,340789.35,2115,0.0768,负责人02
TGT0000162,2026-03,S0002,592428.29,491897.6,603,0.0278,负责人03
TGT0000163,2026-03,S0003,919611.17,746313.64,2151,0.034,负责人04
TGT0000164,2026-03,S0004,1220584.01,1113426.29,2071,0.0605,负责人05
TGT0000165,2026-03,S0005,1176656.38,953434.96,3592,0.0655,负责人06
TGT0000166,2026-03,S0006,932640.78,762879.26,825,0.036,负责人07
TGT0000167,2026-03,S0007,1397470.35,1191406.95,3141,0.0742,负责人08
TGT0000168,2026-03,S0008,1714679.57,1406057.46,2501,0.0811,负责人09
TGT0000169,2026-03,S0009,493259.19,431636.73,3903,0.0806,负责人10
TGT0000170,2026-03,S0010,735979.29,663172.49,1205,0.0852,负责人11
TGT0000171,2026-03,S0011,1724397.52,1619367.69,3364,0.0675,负责人12
TGT0000172,2026-03,S0012,470934.0,431110.89,2697,0.0722,负责人13
TGT0000173,2026-03,S0013,772269.66,687508.75,923,0.028,负责人14
TGT0000174,2026-03,S0014,477044.03,375246.3,3327,0.0354,负责人15
TGT0000175,2026-03,S0015,1440752.75,1238658.06,2756,0.0405,负责人16
TGT0000176,2026-03,S0016,378326.6,316894.83,1520,0.0795,负责人17
TGT0000177,2026-03,S0017,662706.58,619487.36,1892,0.0489,负责人18
TGT0000178,2026-03,S0018,1481091.3,1244212.9,4038,0.0335,负责人19
TGT0000179,2026-03,S0019,877408.61,817579.11,1904,0.0477,负责人20
TGT0000180,2026-03,S0020,724701.45,650901.6,1388,0.0871,负责人21
TGT0000181,2026-03,S0021,496226.5,405112.03,2397,0.0445,负责人22
TGT0000182,2026-03,S0022,247530.99,213250.36,3738,0.0417,负责人23
TGT0000183,2026-03,S0023,1260152.61,1145561.37,3361,0.0297,负责人24
TGT0000184,2026-03,S0024,1676331.81,1494380.9,3233,0.0563,负责人25
TGT0000185,2026-03,S0025,1178966.9,965942.47,1836,0.0397,负责人26
TGT0000186,2026-03,S0026,881953.09,731744.89,433,0.0256,负责人27
TGT0000187,2026-03,S0027,364259.07,340209.22,656,0.0761,负责人28
TGT0000188,2026-03,S0028,1495194.59,1266233.41,1981,0.0475,负责人29
TGT0000189,2026-03,S0029,1241423.2,1102323.53,1934,0.0621,负责人30
TGT0000190,2026-03,S0030,954778.04,821244.99,3117,0.0294,负责人01
TGT0000191,2026-03,S0031,1067004.27,916946.07,3479,0.072,负责人02
TGT0000192,2026-03,S0032,1341183.02,1076020.13,1363,0.072,负责人03
TGT0000193,2026-03,S0033,423684.49,353236.68,3140,0.0859,负责人04
TGT0000194,2026-03,S0034,1480473.54,1309622.84,3030,0.0354,负责人05
TGT0000195,2026-03,S0035,1058417.13,970648.92,477,0.081,负责人06
TGT0000196,2026-03,S0036,370746.43,300886.51,3937,0.0392,负责人07
TGT0000197,2026-03,S0037,1685851.04,1356308.24,1694,0.0596,负责人08
TGT0000198,2026-03,S0038,282377.35,243109.04,712,0.073,负责人09
TGT0000199,2026-03,S0039,1752989.05,1559329.94,1111,0.0678,负责人10
TGT0000200,2026-03,S0040,1050932.59,829199.54,3259,0.0354,负责人11
TGT0000201,2026-03,S0041,1018922.92,891736.46,2531,0.0373,负责人12
TGT0000202,2026-03,S0042,1131362.74,888136.85,1692,0.0613,负责人13
TGT0000203,2026-03,S0043,1112925.14,971529.8,800,0.0494,负责人14
TGT0000204,2026-03,S0044,1712526.26,1497943.82,811,0.0479,负责人15
TGT0000205,2026-03,S0045,1167843.16,983740.13,3459,0.0503,负责人16
TGT0000206,2026-03,S0046,348415.27,292270.76,3491,0.0519,负责人17
TGT0000207,2026-03,S0047,1733533.98,1515659.48,3228,0.0532,负责人18
TGT0000208,2026-03,S0048,1243489.77,997486.22,4189,0.0634,负责人19
TGT0000209,2026-03,S0049,1177335.57,1082201.24,2149,0.0371,负责人20
TGT0000210,2026-03,S0050,1071917.55,949801.39,2257,0.0262,负责人21
TGT0000211,2026-03,S0051,1596235.24,1252146.7,4152,0.0602,负责人22
TGT0000212,2026-03,S0052,666555.44,578371.71,767,0.0419,负责人23
TGT0000213,2026-03,S0053,207099.37,165224.69,405,0.0456,负责人24
TGT0000214,2026-03,S0054,794584.67,640538.19,3529,0.0465,负责人25
TGT0000215,2026-03,S0055,1148467.62,1034048.64,2160,0.0616,负责人26
TGT0000216,2026-03,S0056,351789.49,311548.61,2504,0.0305,负责人27
TGT0000217,2026-03,S0057,991568.27,912497.04,854,0.0886,负责人28
TGT0000218,2026-03,S0058,1488105.57,1295767.25,2184,0.0757,负责人29
TGT0000219,2026-03,S0059,1626038.99,1357661.01,1108,0.0547,负责人30
TGT0000220,2026-03,S0060,1690670.01,1353894.59,2249,0.0477,负责人01
TGT0000221,2026-03,S0061,1141177.09,1010186.59,1723,0.0376,负责人02
TGT0000222,2026-03,S0062,1254384.08,1125738.99,3209,0.0531,负责人03
TGT0000223,2026-03,S0063,1702920.77,1526853.21,3229,0.0486,负责人04
TGT0000224,2026-03,S0064,510123.11,452269.63,2686,0.0406,负责人05
TGT0000225,2026-03,S0065,766924.9,676751.36,3977,0.0398,负责人06
TGT0000226,2026-03,S0066,1042167.66,834920.58,3328,0.0805,负责人07
TGT0000227,2026-03,S0067,1728386.01,1480172.82,960,0.088,负责人08
TGT0000228,2026-03,S0068,317251.48,249934.25,2716,0.0666,负责人09
TGT0000229,2026-03,S0069,1527027.68,1360298.17,3947,0.0369,负责人10
TGT0000230,2026-03,S0070,1494834.45,1360996.16,452,0.0687,负责人11
TGT0000231,2026-03,S0071,538506.94,502627.54,2018,0.0476,负责人12
TGT0000232,2026-03,S0072,284682.69,251158.94,2544,0.0783,负责人13
TGT0000233,2026-03,S0073,1693568.89,1360750.87,3392,0.0696,负责人14
TGT0000234,2026-03,S0074,334507.42,274384.51,3220,0.0773,负责人15
TGT0000235,2026-03,S0075,234191.86,216179.7,490,0.044,负责人16
TGT0000236,2026-03,S0076,823251.49,675818.86,1458,0.0333,负责人17
TGT0000237,2026-03,S0077,1338873.28,1190047.27,3874,0.0541,负责人18
TGT0000238,2026-03,S0078,205650.81,165921.23,3002,0.0634,负责人19
TGT0000239,2026-03,S0079,356809.17,308235.35,4119,0.0374,负责人20
TGT0000240,2026-03,S0080,1084402.93,951198.93,835,0.0265,负责人21
TGT0000241,2026-04,S0001,536206.11,461167.83,1333,0.0418,负责人02
TGT0000242,2026-04,S0002,1052584.48,957688.47,1439,0.0629,负责人03
TGT0000243,2026-04,S0003,417966.82,392523.04,3557,0.0438,负责人04
TGT0000244,2026-04,S0004,1437551.34,1281561.37,2971,0.0599,负责人05
TGT0000245,2026-04,S0005,1224716.26,1016130.02,2320,0.0392,负责人06
TGT0000246,2026-04,S0006,620464.58,541272.54,2672,0.0777,负责人07
TGT0000247,2026-04,S0007,521591.96,471791.81,3078,0.058,负责人08
TGT0000248,2026-04,S0008,270400.57,226509.26,3436,0.0455,负责人09
TGT0000249,2026-04,S0009,217105.35,186568.73,3705,0.0407,负责人10
TGT0000250,2026-04,S0010,649348.48,586142.68,449,0.0711,负责人11
TGT0000251,2026-04,S0011,962011.83,891094.28,1312,0.0631,负责人12
TGT0000252,2026-04,S0012,840137.3,694392.18,1176,0.0324,负责人13
TGT0000253,2026-04,S0013,186859.47,148683.69,4004,0.0344,负责人14
TGT0000254,2026-04,S0014,601194.98,484352.74,1686,0.0772,负责人15
TGT0000255,2026-04,S0015,761459.98,652881.78,2143,0.0819,负责人16
TGT0000256,2026-04,S0016,1462264.67,1167830.52,1293,0.0882,负责人17
TGT0000257,2026-04,S0017,386505.67,307033.58,2581,0.0551,负责人18
TGT0000258,2026-04,S0018,1161604.63,1067256.97,2100,0.0451,负责人19
TGT0000259,2026-04,S0019,1066246.36,876030.14,2025,0.0516,负责人20
TGT0000260,2026-04,S0020,1395768.41,1305261.62,1511,0.054,负责人21
TGT0000261,2026-04,S0021,980122.62,889141.46,3999,0.0553,负责人22
TGT0000262,2026-04,S0022,1446643.08,1264470.96,2464,0.0599,负责人23
TGT0000263,2026-04,S0023,730893.92,676624.01,3482,0.0805,负责人24
TGT0000264,2026-04,S0024,915089.41,834094.89,3076,0.0317,负责人25
TGT0000265,2026-04,S0025,654114.59,592494.1,2104,0.0396,负责人26
TGT0000266,2026-04,S0026,1618552.89,1414294.82,2888,0.0486,负责人27
TGT0000267,2026-04,S0027,1195055.07,934305.98,2110,0.0679,负责人28
TGT0000268,2026-04,S0028,216761.41,179721.81,3681,0.0378,负责人29
TGT0000269,2026-04,S0029,734464.63,649732.09,775,0.0721,负责人30
TGT0000270,2026-04,S0030,1454388.88,1199638.56,3277,0.075,负责人01
TGT0000271,2026-04,S0031,1033035.38,936773.71,3685,0.085,负责人02
TGT0000272,2026-04,S0032,1005674.31,806330.18,471,0.0563,负责人03
TGT0000273,2026-04,S0033,1258768.28,1027016.17,2415,0.031,负责人04
TGT0000274,2026-04,S0034,1364217.54,1190718.56,3623,0.0866,负责人05
TGT0000275,2026-04,S0035,1416491.83,1204167.28,3969,0.0462,负责人06
TGT0000276,2026-04,S0036,450270.35,372820.83,3285,0.0624,负责人07
TGT0000277,2026-04,S0037,1592082.5,1252767.2,3746,0.0336,负责人08
TGT0000278,2026-04,S0038,854527.59,729990.7,3449,0.0472,负责人09
TGT0000279,2026-04,S0039,774078.61,604331.93,3278,0.0815,负责人10
TGT0000280,2026-04,S0040,628252.96,531370.48,1874,0.0734,负责人11
TGT0000281,2026-04,S0041,1548028.8,1450182.45,2192,0.0885,负责人12
TGT0000282,2026-04,S0042,805417.67,748647.66,1236,0.0678,负责人13
TGT0000283,2026-04,S0043,1351467.47,1110700.68,4151,0.0862,负责人14
TGT0000284,2026-04,S0044,963701.9,825260.54,1571,0.0254,负责人15
TGT0000285,2026-04,S0045,1001206.45,834688.08,1584,0.0267,负责人16
TGT0000286,2026-04,S0046,887887.94,763282.02,3051,0.0556,负责人17
TGT0000287,2026-04,S0047,331300.03,311110.92,4038,0.0341,负责人18
TGT0000288,2026-04,S0048,545290.8,481549.68,1821,0.0357,负责人19
TGT0000289,2026-04,S0049,328780.34,295933.47,2624,0.0475,负责人20
TGT0000290,2026-04,S0050,1347226.05,1148885.65,1944,0.0438,负责人21
TGT0000291,2026-04,S0051,241803.05,220817.18,3107,0.0671,负责人22
TGT0000292,2026-04,S0052,1669198.16,1463345.18,636,0.0501,负责人23
TGT0000293,2026-04,S0053,997582.8,920103.23,2613,0.053,负责人24
TGT0000294,2026-04,S0054,1251832.22,993129.52,2354,0.0592,负责人25
TGT0000295,2026-04,S0055,1181920.73,1055389.06,3547,0.0679,负责人26
TGT0000296,2026-04,S0056,700867.17,616845.29,3924,0.0893,负责人27
TGT0000297,2026-04,S0057,660150.83,540793.08,511,0.0828,负责人28
TGT0000298,2026-04,S0058,1494139.24,1350737.06,468,0.0421,负责人29
TGT0000299,2026-04,S0059,1527158.08,1322607.66,3478,0.0284,负责人30
TGT0000300,2026-04,S0060,754569.97,634509.72,2710,0.0304,负责人01
TGT0000301,2026-04,S0061,260895.28,237074.21,1053,0.0393,负责人02
TGT0000302,2026-04,S0062,583684.63,503087.88,767,0.0787,负责人03
TGT0000303,2026-04,S0063,737833.79,597670.21,1760,0.0827,负责人04
TGT0000304,2026-04,S0064,1393764.0,1288014.36,4174,0.0465,负责人05
TGT0000305,2026-04,S0065,852197.84,722206.4,872,0.0696,负责人06
TGT0000306,2026-04,S0066,1124815.82,1003144.57,2812,0.0588,负责人07
TGT0000307,2026-04,S0067,805468.86,745853.93,1262,0.0626,负责人08
TGT0000308,2026-04,S0068,762373.69,632805.97,1768,0.0521,负责人09
TGT0000309,2026-04,S0069,1551973.87,1249115.04,468,0.0711,负责人10
TGT0000310,2026-04,S0070,767856.9,602187.18,891,0.0724,负责人11
TGT0000311,2026-04,S0071,440269.88,358763.43,541,0.0307,负责人12
TGT0000312,2026-04,S0072,932299.14,779281.5,1793,0.0517,负责人13
TGT0000313,2026-04,S0073,1050681.96,874757.06,2545,0.0849,负责人14
TGT0000314,2026-04,S0074,1314333.43,1145883.23,3320,0.0804,负责人15
TGT0000315,2026-04,S0075,1712347.21,1591066.59,2382,0.0801,负责人16
TGT0000316,2026-04,S0076,1534525.8,1436487.52,2880,0.0568,负责人17
TGT0000317,2026-04,S0077,750398.12,665133.37,1945,0.0648,负责人18
TGT0000318,2026-04,S0078,931051.86,867771.52,2927,0.0784,负责人19
TGT0000319,2026-04,S0079,1187770.83,1022336.1,3087,0.0673,负责人20
TGT0000320,2026-04,S0080,1690375.84,1542106.12,3487,0.0802,负责人21
TGT0000321,2026-05,S0001,536485.19,502594.53,2139,0.0492,负责人02
TGT0000322,2026-05,S0002,1447022.43,1284693.02,3072,0.0396,负责人03
TGT0000323,2026-05,S0003,498152.49,445629.49,3057,0.0337,负责人04
TGT0000324,2026-05,S0004,950269.07,884887.67,1230,0.0626,负责人05
TGT0000325,2026-05,S0005,1190641.19,1116700.43,1775,0.0586,负责人06
TGT0000326,2026-05,S0006,1395863.44,1168791.51,1424,0.0453,负责人07
TGT0000327,2026-05,S0007,273227.52,217319.81,3353,0.0641,负责人08
TGT0000328,2026-05,S0008,603608.27,516779.08,860,0.0759,负责人09
TGT0000329,2026-05,S0009,1143690.2,1029832.79,3615,0.0443,负责人10
TGT0000330,2026-05,S0010,1673519.13,1546523.25,581,0.0491,负责人11
TGT0000331,2026-05,S0011,590331.46,539189.95,2554,0.0311,负责人12
TGT0000332,2026-05,S0012,1263923.58,1014332.07,3750,0.0332,负责人13
TGT0000333,2026-05,S0013,392898.84,315921.01,1857,0.0706,负责人14
TGT0000334,2026-05,S0014,839041.65,785590.52,1657,0.0667,负责人15
TGT0000335,2026-05,S0015,435088.1,350013.67,3045,0.0865,负责人16
TGT0000336,2026-05,S0016,359300.75,299260.38,2866,0.0781,负责人17
TGT0000337,2026-05,S0017,558555.6,516370.31,2758,0.0828,负责人18
TGT0000338,2026-05,S0018,1772115.47,1561030.05,958,0.0752,负责人19
TGT0000339,2026-05,S0019,1386296.68,1090466.71,2598,0.0461,负责人20
TGT0000340,2026-05,S0020,1410275.76,1216249.91,1617,0.0379,负责人21
TGT0000341,2026-05,S0021,745577.04,693334.97,1879,0.0664,负责人22
TGT0000342,2026-05,S0022,482753.41,430782.82,1348,0.0253,负责人23
TGT0000343,2026-05,S0023,721589.11,653482.81,2557,0.0386,负责人24
TGT0000344,2026-05,S0024,1138803.16,999410.36,1409,0.0591,负责人25
TGT0000345,2026-05,S0025,1267824.98,1122495.55,2636,0.0765,负责人26
TGT0000346,2026-05,S0026,277258.59,232691.68,2830,0.0634,负责人27
TGT0000347,2026-05,S0027,1149759.1,1039073.79,2976,0.0372,负责人28
TGT0000348,2026-05,S0028,1271461.49,1063408.72,2529,0.0392,负责人29
TGT0000349,2026-05,S0029,257148.06,227115.75,2952,0.0256,负责人30
TGT0000350,2026-05,S0030,1411270.27,1230816.28,3319,0.0497,负责人01
TGT0000351,2026-05,S0031,675908.33,584982.28,1673,0.0551,负责人02
